"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtExposure","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","LowQualFinSF","GrLivArea","BedroomAbvGr","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","PavedDrive","WoodDeckSF","PoolArea","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","SalePrice","NewBuild","BSmtFinSFComb","TotalArea","TotalBaths","PorchSF","Neigh_Cat","AgeCat","LastSold","RemodelFromCat","SeasonSale","GarageScore","OverallScore","ExterScore","KitchenScore","GarageGrade"
1,"60","RL",65,8450,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,4,"PConc",2,150,856,"GasA",5,2,4,0,1710,3,8,5,0,1,"Attchd",3,2,3,0,0,1,"None",0,"WD","Normal",208500,0,706,2566,3.5,61,3,4,2,1,1,16,35,12,4,2192
2,"20","RL",80,9600,"Pave","None","Reg","Lvl",4,"FR2",1,"Feedr","Norm","1Fam","1Story",6,8,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",5,284,1262,"GasA",5,2,4,0,1262,3,6,5,1,4,"Attchd",3,2,3,298,0,1,"None",0,"WD","Normal",181500,0,978,2524,2.5,0,4,3,3,1,3,16,48,9,3,1840
3,"60","RL",68,11250,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,4,"PConc",3,434,920,"GasA",5,2,4,0,1786,3,6,5,1,4,"Attchd",3,2,3,0,0,1,"None",0,"WD","Normal",223500,0,486,2706,3.5,42,3,4,2,4,2,16,35,12,4,2432
4,"70","RL",60,9550,"Pave","None","IR1","Lvl",4,"Corner",1,"Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,3,"BrkTil",2,540,756,"GasA",4,2,4,0,1717,3,7,5,1,5,"Detchd",2,3,3,0,0,1,"None",0,"WD","Abnorml",140000,0,216,2473,2,307,4,1,4,2,1,16,35,9,4,2568
5,"60","RL",84,14260,"Pave","None","IR1","Lvl",4,"FR2",1,"Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,4,"PConc",4,490,1145,"GasA",5,2,4,0,2198,4,9,5,1,4,"Attchd",3,3,3,192,0,1,"None",0,"WD","Normal",250000,0,655,3343,3.5,84,5,3,2,1,1,16,40,12,4,3344
6,"50","RL",85,14115,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1.5Fin",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"Wood",2,64,796,"GasA",5,2,4,0,1362,1,5,5,0,1,"Attchd",2,2,3,40,0,4,"Shed",700,"WD","Normal",143000,0,732,2158,2.5,350,2,3,1,3,2,16,25,9,3,1920
7,"20","RL",75,10084,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",186,4,"PConc",4,317,1686,"GasA",5,2,4,0,1694,3,7,5,1,5,"Attchd",3,2,3,255,0,1,"None",0,"WD","Normal",307000,0,1369,3380,3,57,4,4,3,5,2,16,40,12,4,2544
8,"60","RL",92,10382,"Pave","None","IR1","Lvl",4,"Corner",1,"PosN","Norm","1Fam","2Story",7,6,"Gable","CompShg","HdBoard","HdBoard","Stone",240,3,"CBlock",3,216,1107,"GasA",5,2,4,0,2090,3,7,5,2,4,"Attchd",3,2,3,235,0,1,"Shed",350,"WD","Normal",2e+05,0,891,3197,3.5,432,3,3,1,1,1,16,42,9,3,1936
9,"50","RM",51,6120,"Pave","None","Reg","Lvl",4,"Inside",1,"Artery","Norm","1Fam","1.5Fin",7,5,"Gable","CompShg","BrkFace","Wd Shng","None",0,3,"BrkTil",2,952,952,"GasA",4,2,3,0,1774,2,8,4,2,4,"Detchd",2,2,3,90,0,1,"None",0,"WD","Abnorml",129900,0,0,2726,2,205,2,1,2,2,2,12,35,9,6,1404
10,"190","RL",50,7420,"Pave","None","Reg","Lvl",4,"Corner",1,"Artery","Artery","2fmCon","1.5Unf",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"BrkTil",2,140,991,"GasA",5,2,4,0,1077,2,5,5,2,4,"Attchd",3,1,3,0,0,1,"None",0,"WD","Normal",118000,0,851,2068,2,4,2,1,2,2,1,20,30,9,6,1025
11,"20","RL",70,11200,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,5,"Hip","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",2,134,1040,"GasA",5,2,4,0,1040,3,5,5,0,1,"Detchd",2,1,3,0,0,1,"None",0,"WD","Normal",129500,0,906,2080,2,0,2,2,2,1,1,16,25,9,3,1536
12,"60","RL",85,11924,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",9,5,"Hip","CompShg","WdShing","Wd Shng","Stone",286,5,"PConc",2,177,1175,"GasA",5,2,4,0,2324,4,11,5,2,5,"BuiltIn",4,3,3,147,0,1,"None",0,"New","Partial",345000,1,998,3499,4,21,5,4,4,5,3,16,45,15,5,2944
13,"20","RL",70,12968,"Pave","None","IR2","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","HdBoard","Plywood","None",0,3,"CBlock",2,175,912,"GasA",3,2,4,0,912,2,4,5,0,1,"Detchd",2,1,3,140,0,1,"None",0,"WD","Normal",144000,0,737,1824,2,176,2,2,2,1,2,16,30,9,3,1408
14,"20","RL",91,10652,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","Stone",306,4,"PConc",4,1494,1494,"GasA",5,2,4,0,1494,3,7,5,1,5,"Attchd",3,3,3,160,0,1,"None",0,"New","Partial",279500,1,0,2988,2,33,3,4,3,5,2,16,35,12,4,3360
15,"20","RL",90,10920,"Pave","None","IR1","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1Story",6,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,3,"CBlock",2,520,1253,"GasA",3,2,4,0,1253,2,5,5,1,3,"Attchd",3,1,3,0,0,3,"None",0,"WD","Normal",157000,0,733,2506,2.5,389,2,2,2,1,3,16,30,9,3,1408
16,"45","RM",51,6120,"Pave","None","Reg","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1.5Unf",7,8,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"BrkTil",2,832,832,"GasA",5,2,3,0,854,2,5,5,0,1,"Detchd",2,2,3,48,0,5,"None",0,"WD","Normal",132000,0,0,1686,1,112,2,1,3,4,3,16,56,9,3,2304
17,"20","RL",74,11241,"Pave","None","IR1","Lvl",4,"CulDSac",1,"Norm","Norm","1Fam","1Story",6,7,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,3,"CBlock",2,426,1004,"GasA",5,2,4,0,1004,2,5,5,1,4,"Attchd",4,2,3,0,0,1,"Shed",700,"WD","Normal",149000,0,578,2008,2,0,2,3,0,1,2,16,42,9,3,1920
18,"90","RL",72,10791,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","Duplex","1Story",4,5,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"Slab",1,0,0,"GasA",3,2,4,0,1296,2,6,5,0,1,"CarPort",2,2,3,0,0,1,"Shed",500,"WD","Normal",90000,0,0,1296,2,0,2,2,4,1,2,16,20,9,6,2064
19,"20","RL",66,13695,"Pave","None","Reg","Lvl",4,"Inside",1,"RRAe","Norm","1Fam","1Story",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"PConc",2,468,1114,"GasA",5,2,4,0,1114,3,6,5,0,1,"Detchd",2,2,3,0,0,1,"None",0,"WD","Normal",159000,0,646,2228,2.5,102,3,4,2,1,3,16,25,9,4,2304
